Ph-ID,Culture,Ph_cid,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,Active
169,Inuinnait,14070,5,1,1,4,3,3,1,6,1,1,0,0,0,0,0,0,0,1,1,0,2,0,1,4,3,0,1,1,1,0,0,3,1,2,0,4,0,2,2,3,1,3,2,3,3,3,4,3,4,6,2,1
170,Inuinnait,14070,3,1,1,5,3,3,1,6,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2,3,4,0,1,1,1,0,0,3,2,1,0,4,0,3,2,3,1,3,3,3,1,3,5,2,4,6,2,1
171,Inuinnait,14070,4,1,1,4,3,3,1,6,1,1,0,0,0,0,0,0,0,1,1,0,2,0,1,4,3,0,1,1,1,0,0,3,1,2,0,4,0,2,2,3,1,3,1,3,3,3,4,3,4,6,2,1
172,Inuinnait,14070,3,1,2,5,1,4,1,5,1,1,0,0,1,1,0,1,1,1,1,0,4,0,0,2,3,0,0,0,1,0,1,4,0,2,0,4,0,3,2,3,1,3,2,3,3,3,4,1,4,6,2,1
173,Inuinnait,14070,4,1,1,4,3,2,1,7,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,4,3,0,1,2,1,0,0,3,2,1,0,4,0,2,3,3,1,3,1,3,2,3,6,1,4,5,2,1
174,Inuinnait,14070,4,1,1,4,2,3,1,6,1,1,0,0,0,0,0,0,0,2,1,0,1,0,1,4,3,0,1,1,1,0,0,4,1,2,0,4,0,2,1,3,1,3,2,3,3,4,4,1,4,5,2,1
175,Inuinnait,14070,3,1,2,5,1,3,1,6,1,1,0,0,1,1,0,1,1,1,2,0,1,0,0,3,4,0,0,0,1,0,1,3,0,2,0,4,0,1,2,3,1,3,3,3,1,3,5,3,4,5,2,1
176,Inuinnait,14070,5,1,1,4,1,3,1,6,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,4,3,0,0,0,1,0,0,3,0,2,0,4,0,2,2,3,1,3,1,3,2,3,5,2,3,6,2,1
179,Hokkaido Ainu,16809,4,1,1,3,1,6,1,5,1,1,0,0,0,0,0,0,0,4,2,0,1,0,0,3,1,0,0,0,1,0,0,2,0,4,0,3,0,1,1,3,1,3,3,3,3,3,3,3,3,5,2,1
180,Hokkaido Ainu,16809,4,1,4,3,3,4,1,4,1,1,0,0,1,1,0,2,3,1,1,0,1,0,1,1,1,0,4,1,1,0,1,3,4,3,0,1,0,2,1,2,1,5,3,4,2,4,1,2,5,5,2,1
181,Hokkaido Ainu,16809,3,2,1,2,3,6,1,5,1,2,0,0,0,0,0,0,0,1,1,0,4,0,3,1,1,0,1,1,1,1,0,3,2,4,0,3,0,1,2,1,1,3,2,2,1,2,7,1,5,4,2,1
182,Hokkaido Ainu,16809,4,2,3,4,1,4,1,5,1,1,0,0,1,1,0,1,1,1,3,0,4,0,0,1,2,0,0,0,1,1,1,3,0,4,0,3,0,1,1,1,1,3,3,3,2,3,6,1,5,4,2,1
183,Hokkaido Ainu,16809,4,1,3,3,2,4,1,6,1,1,0,0,1,1,0,1,1,4,1,0,1,0,1,3,2,0,1,1,1,0,1,2,1,4,0,4,0,3,1,3,1,3,3,2,3,3,4,2,5,6,2,1
184,Hokkaido Ainu,16809,2,1,1,4,1,3,1,7,1,1,0,0,0,0,0,0,0,1,2,0,3,0,0,1,4,0,0,0,1,0,0,4,0,1,0,4,0,3,1,3,1,2,2,2,1,3,5,3,3,5,4,1
185,Sakhalin Ainu,10209,3,1,3,3,1,5,1,5,1,1,0,0,4,1,0,1,1,1,2,0,3,0,0,1,1,0,0,0,1,0,1,3,0,3,0,4,0,5,1,1,2,3,1,3,3,3,3,1,4,5,3,1
186,Hokkaido Ainu,16809,4,1,3,6,1,3,1,4,1,3,0,0,1,1,0,1,1,1,2,0,1,0,0,4,1,0,0,0,1,0,3,4,0,1,0,1,0,3,1,2,1,4,2,3,4,4,1,1,4,5,3,1
187,Sakhalin Ainu,10209,7,1,1,1,1,5,1,1,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,1,1,1,1,1,3,3,3,6,2,3,2,4,4,1
188,Sakhalin Ainu,10209,3,1,2,3,4,4,1,5,1,3,0,0,1,1,0,1,2,1,1,0,1,0,1,1,1,0,1,4,1,0,1,1,4,1,0,4,0,1,1,1,1,4,1,3,1,7,1,1,5,2,0,1
199,Hanunoo,16545,2,1,2,4,3,3,1,5,1,1,0,0,1,1,0,1,1,1,3,0,2,0,1,1,4,0,1,1,1,0,1,1,1,1,0,1,0,2,1,6,1,4,2,3,2,4,1,2,5,5,5,1
200,Hanunoo,16545,2,1,2,4,2,4,1,6,1,1,0,0,1,1,0,1,1,1,4,0,1,0,1,1,1,0,1,1,1,0,1,4,1,3,0,3,0,3,1,3,1,3,2,3,3,3,2,3,5,6,4,1
201,Hanunoo,16545,2,1,3,4,2,4,1,7,1,1,0,0,1,1,0,1,1,1,4,0,1,0,1,1,1,0,1,1,1,0,1,3,1,2,0,4,0,3,1,3,1,3,2,3,3,3,2,2,5,6,4,1
202,Hanunoo,16545,2,2,2,4,2,4,1,6,1,1,0,0,1,1,0,2,1,1,1,0,3,0,1,1,4,0,1,1,1,0,1,1,1,1,0,4,0,3,1,3,1,4,2,3,4,3,2,2,5,6,4,1
203,Hanunoo,16545,3,1,2,3,3,4,1,6,1,1,0,0,1,1,0,2,1,1,1,0,3,0,1,4,1,0,1,1,1,0,1,1,1,1,0,4,0,3,1,3,1,4,2,4,3,3,1,2,5,5,4,1
204,Hanunoo,16545,3,1,2,4,1,3,2,7,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,4,3,0,0,0,1,0,1,3,0,2,1,4,0,3,1,3,1,4,2,3,2,3,1,3,5,5,4,1
205,Hanunoo,16545,1,1,7,1,1,6,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,1,1,1,1,1,6,6,1,1,2,2,3,1
206,Hanunoo,16545,6,1,1,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,1,1,1,1,5,6,1,5,1,1,2,2,4,1
207,Hanunoo,16545,2,1,7,1,1,1,1,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,0,1,0,2,1,1,1,2,2,1,2,7,2,1,2,4,4,1
208,Hanunoo,16545,7,1,6,1,1,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,7,1,1,1,1,1,1,1,1,2,1,2,1
209,Hanunoo,16545,7,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6,1,1,1,1,1,1,6,1,1,2,2,3,1
210,Hanunoo,16545,3,1,6,1,1,1,1,6,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,7,1,2,1,1,1
211,Hanunoo,16545,2,1,7,1,1,1,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,0,3,0,1,1,1,1,2,1,1,1,2,7,1,2,2,2,1
213,Temiar,26808,2,1,2,4,4,3,3,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,0,1,3,4,1,2,3,1,2,1,3,1,4,1,4,3,4,1,3,6,5,2,1
214,Temiar,26808,3,1,1,4,2,3,3,5,3,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,2,1,1,1,1,0,0,4,1,1,1,3,3,3,1,3,1,3,1,3,3,3,3,2,6,5,2,1
215,Temiar,26808,2,1,1,5,3,3,3,4,3,1,1,1,0,0,0,0,0,1,2,1,1,1,1,1,3,1,4,1,1,0,0,4,3,2,1,1,1,3,1,3,1,3,1,3,4,3,3,3,6,5,3,1
216,Temiar,26808,4,1,1,3,2,4,4,4,3,1,4,1,0,0,0,0,0,3,1,2,1,1,1,1,1,1,1,1,1,0,0,2,4,1,3,1,1,2,1,2,1,4,1,4,4,3,3,2,6,5,4,1
217,Temiar,26808,1,1,1,3,5,4,4,3,2,0,3,0,0,0,0,0,0,0,1,2,1,0,1,0,1,4,1,0,0,0,0,3,3,1,4,1,1,3,1,3,1,3,2,3,4,3,1,3,5,5,3,1
218,Temiar,26808,3,1,1,5,4,3,4,3,2,1,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,1,1,0,0,3,4,2,3,1,1,3,1,3,1,4,1,3,3,4,1,3,6,5,2,1
219,Temiar,26808,2,1,1,4,4,3,4,4,1,1,4,1,0,0,0,0,0,1,1,1,1,0,2,1,1,3,1,1,1,0,0,4,2,1,3,3,0,3,1,3,1,3,1,3,3,3,2,3,5,5,2,1
220,Temiar,26808,1,1,2,6,3,1,3,4,3,0,3,0,0,1,1,1,0,0,0,0,0,0,1,0,4,1,1,0,0,0,1,4,1,0,1,3,2,2,1,3,1,4,1,3,1,4,3,3,5,5,2,1
221,Temiar,26808,1,1,3,4,3,1,4,4,3,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,4,2,1,0,0,0,1,2,4,0,3,1,1,3,1,3,1,4,1,2,4,3,1,4,5,5,2,1
222,Temiar,26808,1,1,1,3,3,3,5,4,4,0,4,0,0,0,0,0,0,0,1,1,2,0,1,0,1,3,1,0,0,0,0,4,3,1,4,1,1,1,1,3,1,6,1,3,3,3,1,3,5,4,2,1
223,Temiar,26808,1,1,1,4,6,1,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,3,0,0,0,0,4,4,0,2,1,1,4,1,3,1,3,1,3,4,3,1,3,4,5,2,1
224,Yolngu,30080,3,1,3,4,3,3,4,3,1,1,3,4,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,4,3,2,3,1,0,3,1,3,1,3,1,3,5,3,1,2,6,5,3,1
225,Magatige,30074,1,1,3,4,1,5,6,1,1,0,3,0,0,1,1,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3,0,4,4,0,0,3,1,3,1,3,1,2,5,4,1,1,3,4,3,1
226,Maung,30084,4,1,1,4,1,4,5,3,1,1,4,3,0,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,3,0,0,4,0,1,4,1,0,3,1,3,1,3,1,3,5,4,1,1,4,4,3,1
227,Magatige,11078,6,1,1,3,1,2,5,1,3,1,1,4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,3,0,1,1,0,4,3,1,1,1,1,1,5,6,2,3,1,4,3,2,1
228,Rembarrnga,30076,4,1,1,5,2,1,6,1,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,4,1,0,3,0,0,1,1,1,1,1,1,7,2,3,3,2,3,3,2,1
229,Yolngu,30080,4,1,1,4,1,4,7,1,1,1,2,4,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,4,0,2,3,0,0,3,1,4,1,4,1,3,3,4,2,1,3,5,2,1
230,Yolngu,30080,3,1,3,4,1,4,6,1,1,1,4,1,1,1,2,0,1,1,3,1,0,0,0,0,0,0,0,0,1,0,1,4,0,2,4,0,0,4,1,3,1,3,1,2,5,3,1,1,4,4,2,1
231,Yolngu,30080,3,1,5,3,1,3,5,1,1,2,3,1,1,1,4,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3,0,2,4,0,0,3,1,5,1,3,1,2,5,3,1,2,4,5,2,1
232,Gaagudju,30097,3,1,3,5,3,1,4,3,2,1,2,4,3,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,4,3,0,3,1,1,3,1,3,1,3,2,3,3,3,2,2,6,6,3,1
233,Yolngu,30080,2,1,2,3,4,4,4,3,3,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,0,1,1,2,3,4,1,1,3,1,3,1,4,1,3,4,3,1,3,6,5,2,1
234,Kunwinjku,30073,4,1,2,4,3,4,5,1,1,1,2,1,1,1,1,0,1,1,4,3,0,0,0,0,0,1,1,1,3,0,1,4,2,1,3,0,0,3,1,3,1,3,1,2,4,4,1,3,5,5,2,1
235,Maung,30084,3,1,2,4,1,4,5,1,4,1,1,1,1,1,1,0,1,1,4,2,0,1,0,0,0,0,0,0,1,0,1,3,0,3,4,0,1,3,1,3,1,4,1,4,3,4,1,1,5,4,2,1
236,Yolngu,30080,3,1,3,4,1,4,5,1,1,1,4,1,1,1,2,0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,1,4,0,2,4,0,0,3,1,3,1,3,1,3,5,3,1,3,4,5,2,1
237,,,4,1,1,3,3,5,4,1,1,1,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,1,1,0,0,3,1,3,4,0,0,4,1,3,1,3,1,2,3,5,1,1,4,4,2,1
238,,,2,1,2,4,2,4,5,3,1,1,2,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,0,1,3,1,2,4,1,0,4,1,3,1,3,1,3,4,4,1,1,6,4,2,1
239,Mudburra,62549,2,1,4,3,2,3,4,4,1,1,2,1,1,1,1,4,1,1,1,3,1,0,1,1,1,1,1,1,1,0,1,3,1,1,4,2,0,2,3,1,1,3,1,3,4,6,1,1,6,4,2,1
240,Kunwinjku,30073,4,1,1,5,2,3,6,1,1,1,3,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,4,0,0,1,1,3,4,0,0,1,1,3,1,4,2,1,4,4,1,3,4,4,2,1
241,,,3,1,4,4,1,4,5,1,1,1,2,1,1,1,3,0,1,1,1,4,0,0,0,0,0,0,0,0,1,0,2,4,0,1,3,0,0,4,2,3,1,4,2,3,2,3,2,2,4,6,2,1
242,,,4,1,1,3,1,1,6,5,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0,2,0,0,4,1,0,1,1,3,1,5,1,1,6,4,1,1,3,3,2,1
243,Magatige,11078,1,1,1,6,1,1,7,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,3,2,1,1,1,3,6,3,1,1,2,4,4,1
246,Manus,20813,3,1,3,3,7,3,1,3,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,4,1,0,1,0,3,3,2,1,3,3,3,2,3,2,3,5,6,2,1
247,Manus,20813,5,1,3,4,2,4,1,3,1,2,0,0,1,1,0,1,1,3,1,0,1,0,1,1,4,0,1,1,1,0,1,4,1,2,0,3,0,2,3,3,1,3,3,3,5,3,1,2,5,6,2,1
248,Manus,20813,3,1,3,5,3,3,1,4,1,1,0,0,1,1,0,1,1,1,1,0,3,0,1,1,4,0,1,1,1,0,1,4,1,1,0,1,0,3,3,3,1,3,3,3,4,3,1,2,5,6,2,1
249,Manus,20813,3,1,3,4,3,5,1,4,1,1,0,0,1,1,0,1,1,1,2,0,3,0,1,1,4,0,1,1,1,0,1,3,1,1,0,4,0,3,2,3,1,4,3,3,3,3,1,2,5,6,3,1
250,Manus,20813,3,1,4,4,3,3,1,4,1,1,0,0,1,1,0,4,1,2,1,0,1,0,1,1,3,0,1,1,1,0,1,4,1,1,0,3,0,2,3,2,1,4,3,3,4,3,1,1,5,5,2,1
251,Manus,20813,3,1,3,5,2,3,1,5,1,1,0,0,1,2,0,1,1,1,3,0,1,0,1,1,4,0,1,1,1,0,1,4,1,1,0,1,0,2,1,3,1,4,2,2,3,4,3,3,5,6,2,1
252,Manus,20813,3,1,3,5,3,3,1,5,1,1,0,0,1,2,0,1,1,1,1,0,1,0,1,1,4,0,3,1,1,0,1,4,1,1,0,1,0,2,1,3,1,4,1,3,4,3,3,1,5,5,2,1
253,Manus,20813,3,1,3,5,2,3,1,5,1,1,0,0,1,3,0,1,1,1,1,0,1,0,1,1,4,0,1,1,1,0,1,4,1,1,0,1,0,2,1,3,1,4,3,3,3,4,2,2,5,6,2,1
254,Manus,20813,3,1,4,4,2,4,1,4,1,1,0,0,1,1,0,4,1,2,1,0,1,0,1,1,3,0,1,1,1,0,1,3,1,4,0,4,0,3,1,1,1,4,3,3,3,3,3,1,5,5,2,1
255,Manus,20813,3,1,3,5,1,3,1,4,1,1,0,0,1,1,0,1,1,1,3,0,4,0,0,2,1,0,0,0,1,0,1,4,0,1,0,1,0,1,5,2,1,2,3,3,4,3,1,1,4,5,3,1
256,Manus,20813,4,1,3,4,1,4,1,4,1,1,0,0,1,1,0,1,1,1,3,0,4,0,0,2,1,0,0,0,1,0,1,4,0,3,0,1,0,1,4,2,1,3,3,4,3,4,1,1,4,5,3,1
257,Manus,20813,3,1,4,4,2,3,2,3,1,4,1,1,1,3,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,0,1,4,2,1,1,3,0,3,3,2,1,3,3,4,4,3,1,1,6,5,2,1
258,Usiai,28084,4,1,1,5,3,4,2,3,1,1,1,1,0,0,0,0,0,3,1,1,1,0,1,2,4,1,1,1,1,0,0,4,2,3,1,1,0,1,1,1,1,1,1,3,2,2,7,3,5,3,2,1
259,Usiai,28084,4,1,1,5,3,5,2,3,1,3,1,1,0,0,0,0,0,4,1,1,2,0,1,1,1,1,1,1,1,0,0,3,2,4,1,1,0,3,1,1,1,1,1,4,1,1,7,1,5,2,2,1
260,Usiai,28084,4,1,1,5,3,5,2,3,1,1,1,1,0,0,0,0,0,4,1,1,3,0,1,1,1,1,1,1,1,0,0,4,3,1,1,2,0,1,1,1,1,1,1,1,1,1,7,1,5,1,2,1
261,Usiai,28084,2,1,3,6,4,3,1,3,1,1,0,0,1,4,0,1,1,1,1,0,1,0,1,1,1,0,3,1,1,0,1,4,3,1,0,1,0,3,2,3,1,3,2,2,3,3,4,1,5,6,2,1
262,Usiai,28084,3,1,3,6,3,3,1,3,1,1,0,0,1,3,0,1,1,1,1,0,1,0,1,1,4,0,1,1,1,0,1,4,1,1,0,3,0,3,2,3,1,3,2,2,3,3,5,1,5,6,2,1
263,Usiai,28084,4,1,3,6,1,4,3,3,1,1,2,1,1,1,1,1,1,4,3,1,1,0,0,1,1,0,0,0,1,0,1,4,0,4,1,2,0,2,1,2,1,2,2,2,6,2,4,1,5,5,2,1
264,Usiai,28084,4,1,3,3,2,5,1,4,1,1,0,0,1,1,0,2,1,1,1,0,3,0,1,4,1,0,1,1,1,0,1,3,1,4,0,3,0,2,1,2,1,2,1,4,4,5,1,2,5,5,2,1
265,Usiai,28084,3,1,1,5,1,4,3,5,1,3,2,1,0,0,0,0,0,1,1,1,1,0,0,1,4,0,0,0,1,0,0,4,0,1,3,1,0,3,1,3,1,6,1,3,1,5,1,1,4,3,3,1
268,Maori,20835,4,1,3,5,1,3,1,5,1,1,0,0,1,1,0,2,1,1,4,0,1,0,0,3,1,0,0,0,2,0,1,3,0,1,0,4,0,2,1,3,1,4,3,3,3,4,2,2,4,6,2,1
269,Maori,20835,4,1,4,4,1,3,1,5,1,1,0,0,1,1,0,3,1,1,1,0,1,0,0,4,1,0,0,0,4,0,1,2,0,1,0,4,0,2,1,2,1,3,2,3,3,4,4,2,4,6,2,1
271,Maori,20835,3,1,4,4,1,3,1,6,1,1,0,0,1,1,0,4,1,1,1,0,1,0,0,3,1,0,0,0,3,0,4,1,0,1,0,4,0,2,1,3,1,4,1,2,3,3,4,2,4,5,2,1
272,Maori,20835,3,1,4,4,1,4,1,6,1,1,0,0,1,1,0,3,1,1,1,0,1,0,0,2,4,0,0,0,2,0,1,1,0,3,0,4,0,3,1,2,1,3,1,3,3,4,4,2,4,5,2,1
273,Maori,20835,2,1,3,6,1,3,1,6,1,1,0,0,1,1,0,2,1,1,3,0,1,0,0,1,4,0,0,0,1,0,2,4,0,1,0,4,0,3,1,3,1,3,1,2,3,4,4,2,4,5,2,1
274,Maori,20835,5,1,4,4,1,4,1,4,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,4,0,1,4,0,2,0,1,0,3,1,2,1,4,1,2,3,4,3,2,4,5,2,1
275,Maori,20835,5,1,4,4,1,4,1,4,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,4,0,4,1,0,2,0,1,0,3,1,2,1,4,1,2,2,4,4,2,4,5,2,1
276,Maori,20835,3,1,4,5,1,4,1,4,1,1,0,0,1,1,0,3,1,1,4,0,1,0,0,1,1,0,0,0,3,0,4,3,0,1,0,1,0,3,1,3,1,3,1,2,3,4,4,2,4,5,2,1
277,Maori,20835,3,1,4,4,1,3,1,6,1,1,0,0,1,1,0,4,1,1,1,0,2,0,0,1,3,0,0,0,1,0,1,3,0,3,0,4,0,3,1,3,1,4,1,3,3,4,2,2,4,5,2,1
279,Tikopia,27083,3,1,3,5,2,4,3,3,1,1,1,1,1,1,1,1,1,1,4,1,3,0,1,1,2,1,1,1,1,0,1,2,1,4,1,3,0,4,3,3,1,4,2,3,2,3,2,1,6,6,2,1
280,Tikopia,27083,3,1,3,5,2,4,3,4,1,1,1,1,1,1,1,1,1,1,4,1,2,0,1,1,3,1,1,1,2,0,1,1,1,3,4,4,0,1,2,4,1,4,3,3,2,3,1,2,6,5,2,1
281,Tikopia,27083,2,1,2,5,2,5,3,3,1,1,2,1,1,1,1,1,1,1,4,1,3,0,1,1,1,1,1,1,1,0,1,3,1,4,2,1,0,1,1,1,1,5,1,4,1,5,3,2,6,3,2,1
282,Tikopia,27083,2,1,2,5,5,2,4,1,1,1,3,1,1,1,1,0,1,1,1,1,0,0,0,0,0,2,4,1,1,0,1,3,4,1,2,0,0,3,1,3,1,4,1,3,3,4,3,3,5,5,2,1
283,Tikopia,27083,3,1,2,6,5,1,4,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,1,2,4,0,3,0,0,3,1,3,1,4,2,2,2,4,3,2,4,6,2,1
284,Tikopia,27083,3,1,2,4,5,2,5,1,1,1,4,1,1,1,1,0,1,1,1,1,0,0,0,0,0,3,2,1,1,0,1,2,3,1,4,0,0,2,1,3,1,3,3,3,3,3,4,1,5,5,2,1
285,Tikopia,27083,2,1,2,4,4,3,5,1,1,1,3,1,1,1,1,0,1,1,1,1,0,0,0,0,0,4,2,1,1,0,1,3,4,1,2,0,0,2,1,3,1,5,1,3,3,3,3,1,5,5,2,1
286,Tikopia,27083,3,1,3,4,4,2,4,1,1,1,4,1,1,1,1,0,1,1,1,1,0,0,0,0,0,2,3,1,1,0,2,2,4,1,3,0,0,1,1,1,1,6,1,3,3,3,3,3,5,4,2,1
287,Tikopia,27083,1,1,3,6,3,2,4,1,1,0,4,0,0,1,2,0,1,0,1,1,0,0,0,0,0,1,3,0,0,0,1,4,2,1,3,0,0,2,2,2,1,6,1,3,3,2,3,2,4,6,2,1
288,Tikopia,27083,1,1,2,4,6,1,6,1,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,2,3,0,4,0,0,3,1,4,1,2,2,2,2,3,5,1,3,5,2,1
289,Tikopia,27083,4,1,2,4,4,1,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,3,4,1,0,1,3,4,0,4,0,0,1,1,3,1,3,1,1,1,6,5,1,4,3,2,1
290,Dogon,14675,4,2,3,4,2,2,1,6,1,2,0,0,1,1,0,1,1,1,1,0,1,0,1,3,4,0,1,1,1,1,3,2,1,3,0,4,0,3,1,3,1,3,3,3,4,3,1,2,6,5,2,1
291,Dogon,14675,5,2,2,5,3,3,1,4,1,3,0,0,1,1,0,1,1,2,1,0,1,0,1,4,1,0,1,1,1,1,1,4,1,1,0,3,0,3,1,3,1,4,2,4,3,3,1,2,6,5,2,1
292,Dogon,14675,3,1,4,3,3,3,1,6,1,1,0,0,1,1,0,4,1,1,1,0,1,0,1,3,1,0,1,1,1,0,2,1,3,1,0,4,0,3,1,3,1,1,2,3,4,5,2,2,5,5,2,1
293,Dogon,14675,5,1,2,5,3,3,1,4,1,1,0,0,1,1,0,1,1,3,1,0,1,0,1,4,2,0,1,1,1,0,1,4,2,1,0,4,0,4,2,4,1,2,2,2,5,2,1,2,5,6,2,1
294,Dogon,14675,4,3,1,4,3,4,1,5,1,3,0,0,0,0,0,0,0,4,1,0,1,0,1,1,2,0,1,1,1,1,0,4,1,1,0,1,0,2,2,3,1,3,3,3,3,3,1,3,5,6,3,1
295,Dogon,14675,3,1,3,5,2,3,1,5,1,1,0,0,1,1,0,1,2,1,1,0,1,0,1,4,3,0,1,1,1,0,1,4,1,1,0,3,0,4,1,3,1,1,1,3,4,5,2,1,5,4,2,1
296,Dogon,14675,4,1,3,5,3,3,1,5,1,1,0,0,1,1,0,1,1,2,1,0,1,0,1,3,4,0,1,1,1,0,1,3,2,1,0,4,0,3,3,1,1,4,2,5,1,4,1,1,5,4,2,1
297,Dogon,14675,4,1,2,5,4,3,1,3,1,4,0,0,1,1,0,1,1,1,1,0,1,0,1,2,1,0,3,1,1,0,1,3,4,1,0,1,0,6,3,3,1,1,2,4,4,1,1,1,5,4,2,1
298,Dogon,14675,4,1,1,5,3,3,1,5,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,4,3,0,1,1,1,0,0,4,1,1,0,4,0,3,1,3,1,3,3,3,3,3,1,3,4,5,2,1
299,Dogon,14675,5,1,2,6,3,1,1,4,1,4,0,0,1,1,0,1,0,0,0,0,0,0,1,3,2,0,1,1,1,0,1,4,2,0,0,3,0,3,1,3,1,4,2,3,4,3,1,2,4,5,2,1
300,Dogon,14675,4,1,1,5,3,1,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,3,2,0,0,4,3,0,0,1,0,1,1,1,1,1,1,1,1,1,7,1,3,1,1,1
301,Loma,27314,3,1,3,4,3,4,2,4,1,1,1,1,1,1,1,4,1,3,2,1,1,0,1,1,1,1,1,1,1,0,1,4,1,4,2,1,0,3,5,1,1,3,3,2,3,2,3,1,6,5,2,1
302,Loma,27314,4,1,3,4,3,5,2,3,1,3,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1,1,1,1,0,1,4,1,3,3,1,0,2,4,2,1,2,1,1,3,3,3,4,6,5,2,1
